21319338:亚丽莎,2;小说家,1;理智,1;病人,1;狩猎者,1;
3531511:挺,2;martin,2;kiefer,2;完美,1;之一,1;
2117898:寂静岭,821;游戏,525;猪,301;2,245;世界,241;
3197053:回忆,2;幸运,2;judaai,2;imdb,2;唱,2;
3047728:图,40;潘,30;生活,29;草原,28;梦想,23;
1441039:梶,6;满洲,4;思想,4;命运,4;行动,3;
1293779:生命,11;人生,8;罗宾,6;jack,6;大人,5;
1769856:五十,22;灭,22;很漂亮,1;长大,1;残,1;
1302868:达西,68;傲慢,55;偏见,54;版,33;女人,31;
1301811:艾瑞克,69;erik,57;dexter,47;德克斯特,43;世界,28;
1461985:胡汉三,17;革命,16;经典,15;闪闪,11;东子,11;
1306461:美国,3;了解,3;斗法,2;一物,2;典型,1;
6080748:宅,123;紫,120;爱,117;惊悚,115;佟丽娅,105;
4840370:南京,145;陆川,114;纪录片,61;中国,51;拍摄,45;
3075909:pinkie,40;rose,26;爱,23;我爱你,21;爱情,15;
6974521:末日,10;2012,8;日本,6;屌,5;爱,5;
1774711:sarah,5;文化,3;新西兰,3;毛利人,3;冲突,3;
3660508:tj,148;海瑟,114;生活,100;奶奶,83;瑟,77;
3011988:武士,15;千代,8;菊,8;山贼,5;马,4;
1433702:爱,84;夫人,75;爱情,71;社会,36;贵族,32;
3041201:朱莉,151;淑,124;熙,84;灵魂,65;老公,51;
1308840:爱,63;乔,56;joe,45;(,29;),29;
1300422:世界,23;手语,10;美,9;莎拉,9;萨拉,8;
3598221:没了,4;下面,4;吸引,3;大哥,3;太监,3;
1418570:布鲁诺,115;生活,64;兄弟,48;社会,35;女友,34;
1308504:生活,5;淘气,3;越来越,3;张娜拉,3;虚假,2;
1995466:反抗者,3;走钢丝,3;空间,3;变化,3;转换,3;
10441064:亨利,31;抖,27;爱德华,25;hal,25;森,22;
5299188:妈妈,7;谎言,7;欺骗,6;听到,5;彭浩翔,5;
5364985:丈母娘,13;无,6;邱志宏,5;岳林,5;父母,4;
1298245:k,56;19,50;潜艇,48;苏联,30;艇,27;
1996313:暴力,56;美国,53;大逃杀,49;wwe,41;死刑犯,39;
4847824:前女友,7;加里,5;杀人狂,5;监狱,4;生活,4;
1308857:可可西里,1051;藏羚羊,611;巡山,479;泰,458;日,438;
1400876:父亲,32;rick,28;生活,27;面具,24;阳光,23;
1767673:英雄,3;(,3;),3;希腊,3;伊阿宋,3;
1782648:啤酒,35;啤酒节,26;青岛,11;喝,9;比赛,8;
5919548:朝鲜,171;中国,110;历史,104;韩国,101;弓,93;
3441947:猫,10;瓦力,8;alone,6;芯片,6;小黄,6;
1863980:梅拉妮,131;é,106;复仇,74;钢琴,67;m,60;
1305915:老师,9;开心,7;鬼,6;袁洁莹,5;脸,4;
1815488:－,4;灯塔,4;世界,3;交代,3;达利,3;
1459148:宫田,49;阿美,36;神田,35;钱,28;黑社会,25;
2371959:制作,9;神,8;木偶,8;云南,7;技术,7;
1302939:梁朝伟,44;刘嘉玲,23;柏安妮,19;男人,19;cat,17;
1949491:席勒,4;艺术,3;地上,2;拍成,2;几乎,2;
3829516:艾瑞卡,41;男人,40;摇滚,17;青年,17;母亲,14;
1292217:梦,3744;diane,3363;camilla,2122;梦境,2074;betty,1275;
1757929:达莱,29;爱情,26;志焕,22;爱,22;青春,18;
3732426:／,6;踢踢,5;批,5;佈,4;」,4;
1296049:芦苇,93;弗朗索瓦,83;塞尔日,81;亨利,60;青春,59;
1860784:希特勒,57;刺杀,28;德国,27;历史,20;行动,18;
1293639:tim,17;鬼魂,12;burton,11;鬼,10;juice,9;
1923473:影子,13;历史,13;马其顿,7;爱,6;鬼魂,6;
1401918:me,17;tell,16;what,16;see,16;your,13;
3642272:佩德罗,8;老师,6;阿尔佛,6;雷德,6;送来,3;
3147941:女人,515;carrie,404;她们,290;big,290;生活,265;
4132407:银行,81;老头,57;劫匪,50;抢劫,43;fbi,40;
1298593:金刚,82;美女,27;白人,26;大猩猩,26;黑人,24;
1297493:学生,74;老师,38;吴镇宇,29;读,20;教育,17;
4739986:香港,83;花,74;东风破,46;eva,43;义庄,43;
10827151:互换,300;钟汉良,297;笑,274;秘密,247;灵魂,223;
7046520:【,17;】,17;电,16;18319981622,16;假,16;
2173732:世界,7;梦,5;以后,4;同性恋者,4;打压,3;
2106269:功夫,2;中国,2;毛病,1;薄弱,1;老实,1;
2359835:his,28;neal,27;pussy,20;店,18;is,18;
4894072:刘健,22;中国,20;动画,19;张小军,14;刺痛,11;
10436025:corbijn,17;纪录片,6;【,6;】,6;☆,5;
4735944:龙凤,108;店,108;皇帝,82;s,74;喜剧,66;
1983125:mimzy,28;玩具,26;未来,20;世界,17;emma,17;
2157009:(,15;),15;死神,12;karman,8;战争,8;
3006772:外星人,4454;人类,3487;地球,1459;区,1345;第九,1278;
1302537:梁家辉,12;洪金宝,10;成龙,7;编剧,7;火烧岛,6;
1300919:爱,217;爱情,66;」,56;「,56;医生,56;
1428067:梦想,115;d,65;妓女,44;生活,43;jay,38;
6519575:杨善洲,57;正常,18;书记,17;人民,16;中国,15;
1477206:爱德华,145;edward,138;美国,81;cia,73;间谍,70;
2064441:陈满堆,95;犬,71;林志宏,64;陈奕迅,55;快乐,46;
2972705:德国,18;美国,16;德国人,10;巴斯蒂,8;大兵,8;
1917299:性,30;女人,29;,24;死亡,22;生活,22;
1295791:姐姐,12;妹妹,9;心理医生,8;父亲,5;海丝,4;
2030743:设计,3;反抗,3;皇帝,3;出品,2;主题,2;
1358425:笑,11;小明,10;黄耀明,10;李丽珍,9;青春,6;
1301974:莫敏儿,249;陈家富,165;爱,152;爱情,144;游牧人,139;
1959799:寻找,3;困难,3;gloria,3;普通,3;城市,3;
1401883:老师,13;少女,12;男人,5;女孩,5;女生,4;
4293680:爱,10;爱情,8;对方,6;世界,5;不可思议,5;
3299241:外公,227;记忆,195;爱,185;生活,177;保加利亚,146;
1294058:﹐,43;`,42;爱,31;she,30;男人,27;
1308762:杀手,352;司机,340;max,191;麦克斯,184;杀,139;
1918744:路易,23;老师,16;笑,8;女主角,7;姐妹,7;
2037833:d,216;地心,149;眼镜,91;效果,79;凡尔纳,60;
1298437:罗沃克,6;绝对,6;保,5;三,4;陌生人,4;
3003836:酱油,127;朋友,122;greg,120;小屁孩,103;rowley,94;
3559446:乔,21;顺,18;英,18;	,16;爱情,16;
2227136:cottage,3;in,3;for,2;by,2;are,2;
4116937:西藏,104;措,89;雍,68;爱情,61;爱,52;
1945800:查理,170;父亲,146;米兰达,119;女儿,118;梦想,61;
1856674:娜,4;…,4;美,4;熊,3;博洛德,3;
7161697:恐怖片,2;上映,2;影像,1;惊,1;华丽,1;
3091716:k,66;梦,44;男人,38;女人,30;男子,24;
1299607:阳子,725;岛津,411;爱,214;东京,197;妻子,195;
4303615:」,26;「,26;汤,13;生活,9;房子,8;
1417910:车太贤,3;笑,3;平常,3;*,2;∩,2;
3872361:http,3;com,2;www,2;_,2;video,2;
1872271:this,4;for,3;pure,3;movie,3;all,3;
5380183:国王,32;水獭,12;宫殿,11;贪欲,6;斧头,6;
6753096:萌,300;小明,168;床,133;恐怖片,122;况宇,120;
5936103:父亲,23;级,15;劫,15;剪辑,8;跳跃,8;
2132941:狼,145;吸血鬼,119;传说,59;_,55;黑夜,47;
1303671:陈青,137;麦强,118;麦,97;强,93;生活,83;
3011460:梦想,53;牙,31;仙,26;噠,20;相信,16;
1293101:faber,9;walter,4;部分,3;大堂,3;旅行,3;
3728335:pearce,146;_,102;cox,64;greenhill,54;travers,44;
2237344:结尾,5;4,4;全部,3;後,3;前面,3;
10736586:柯震东,146;甄子丹,146;陈妍希,135;爱情,129;爱,111;
6721894:美国,62;政治,38;中国,28;政坛,18;混战,15;
1301859:飞机,21;苏联,19;俄罗斯,16;医生,16;护照,12;
1299629:爱,85;宝宝,72;男人,31;我爱你,30;情人,30;
1305525:中国,87;间谍,48;苏州,41;美国,36;监狱,35;
1296996:哈利,47;哈利波,43;特,42;哈,24;密室,24;
1766068:复仇,6;印度,4;整容,4;鳄鱼,4;小时候,4;
1464368:松果,17;松鼠,15;冰河,7;世纪,6;短片,5;
1297131:万圣节,267;圣诞节,241;杰克,189;jack,141;圣诞老人,125;
1302931:特雷弗,18;老师,13;先生,11;学生,11;胜利,5;
4298405:爱情,49;jack,24;chole,22;孤独,12;行李箱,11;
4172593:预言,6;人类,6;信息,5;探索频道,4;末日,4;
1473297:爱,231;luce,161;rachel,151;爱情,139;me,110;
3287615:父亲,20;安妮,20;英国,13;历史,12;战争,11;
2365061:helen,24;海伦,23;mathilda,15;生活,13;心理,12;
1293985:信息,75;is,65;总统,56;舆论,54;狗,47;
1793916:乒乓球,25;乒乓,22;恶搞,13;兰迪,13;maggie,12;
1861832:屋顶,7;猫,7;理想,6;世界,5;激情,5;
1306893:伯爵,96;基督山,79;原著,59;朋友,56;唐泰斯,54;
1421742:子弹,4;小姐,3;巴克利,3;击发,2;解释,2;
1960298:葫芦,151;宝,123;中国,36;可爱,28;秘密,26;
6796128:好好,17;f,1;4,1;3468,1;
5908859:生活,27;女儿,17;四十,17;40岁,15;丈夫,14;
4074206:亲情,2;动物,1;眼睛,1;叙事,1;短片,1;
2240990:音乐,177;冰岛,159;sigur,129;ros,93;乐队,57;
3236361:．,12;船,11;船长,11;绝望,10;错,9;
1826741:国父,16;孙,16;台湾,12;教父,8;中国,8;
2131459:e,4653;wall,4497;机器人,3659;人类,2895;地球,2829;
1762478:牛皮,36;刘伽茵,32;生活,28;父母,26;拍摄,16;
1307015:大路,49;孙瑜,46;中国,19;浪漫,19;工人,18;
3114109:跑,100;酷,88;13,87;总统,71;法国,62;
1296240:拍摄,20;工作,14;少林,13;香港,12;南北,10;
1293119:遭遇,2;今天,2;处于,2;一半,1;至今,1;
1307203:搞,10;slasher,8;剪刀,6;露营,6;屠杀,5;
6985089:般,2;冷,2;扮演者,2;似,2;童年,2;
6844868:少年,495;狼,384;爱,223;哲,200;少女,200;
1306454:nene,378;angel,333;爱,147;爱情,104;声音,85;
1292680:鲨鱼,20;厨子,5;越,4;～,4;科学家,3;
1292812:harold,112;maude,100;生命,83;少年,70;生活,66;
1477917:日本,21;家庭,10;父亲,8;纩,7;东方,6;
1291860:瓦尔特,122;德军,52;萨拉热窝,51;游击队员,39;党卫军,37;
11610564:短片,2;哈哈,1;正,1;映,1;老师,1;
1296276:玛丽娜,4;马克,4;红辣椒,2;一般,2;住,2;
1303203:mini,105;胖子,98;减肥,85;爱情,75;胖,57;
4915107:00,78;父亲,51;leave,47;me,47;相机,47;
4139888:明里,120;未来,100;凉,96;记忆,66;穿越,61;
1308567:爱,498;爱情,366;久,339;木,329;子,278;
1302340:美国,23;警察,11;白痴,6;杀手,4;智商,4;
3249999:in,13;me,11;what,8;演唱会,8;lp,7;
1308252:江湖,141;因,140;任,137;久,136;梁家辉,73;
2071525:监狱,25;山东,15;婆,15;社会,12;正义,10;
3011093:生活,2231;珍妮,1535;男人,1469;jenny,1380;教育,1190;
10851129:粘土,9;丧尸,8;女仆,7;颜色,5;坨,4;
1301185:发哥,7;社团,7;香港,6;新艺城,6;扮演,6;
1300945:保罗,314;爱,229;维多利亚,226;父亲,151;爱情,143;
1298545:．,33;波兰,9;斯基,9;男人,4;重复,4;
6973376:青春,15036;爱,7647;郑微,6380;爱情,4727;陈孝正,3835;
1309054:生活,686;父亲,563;．,342;天气,299;工作,274;
1550450:幻影,68;法国,62;2000,48;飞机,47;飞行,39;
2228292:马善,3;少年,3;bomb,3;潜水,3;成长,2;
1292864:苏菲,15;张,11;爱苏菲,10;收藏,10;碟,10;
1416870:月球,7;地球,3;宇航员,3;便是,2;一边,2;
1763132:爱,1118;喜,955;爱情,840;整容,807;世,774;
3305818:吴镇宇,38;阿伟,33;杀手,30;纽扣,25;小子,24;
1869520:sex,18;癖,9;口,6;交,6;sexual,6;
1307190:历史,52;屠杀,20;土耳其,19;真相,14;亚美尼亚人,14;
1292504:天使,1443;柏林,413;世界,403;人类,293;文德斯,239;
4166689:laura,7;未来,4;e,4;北非,4;核电站,4;
4111416:爱情,563;生活,488;无人驾驶,476;刘烨,413;爱,360;
1477448:狗,1004;南极,454;狗狗,416;它们,415;人类,350;
1427381:单纯,4;pour,3;母亲,3;骆驼,3;家庭,3;
1293702:恐龙,94;公园,33;侏罗纪,30;人类,22;斯皮尔伯格,18;
6799159:噠,9;短片,2;birthday,1;随,1;颜色,1;
1468650:复制,79;主人公,46;机械,39;生活,33;自我,28;
2139766:小花,321;爷爷,277;爱,185;暖,154;春,137;
1308728:曹操,2;拍摄,2;柯俊雄,1;蛮,1;1999年,1;
6531245:_,32;燮,8;春,8;俊,7;春燮,3;
1298828:内特,10;玛丽,10;安托瓦,10;法国,9;路易十六,6;
1478926:龙虎门,280;甄子丹,267;漫画,229;动作,201;香港,100;
1299300:因,6;冰原,5;特,5;传说,5;努,5;
1293200:象,407;医生,130;社会,77;马戏团,72;畸形,57;
1441479:列侬,145;lennon,97;洋,55;子,55;世界,54;
4296866:相信,10;doctor,8;爱,8;人类,7;donna,7;
5346468:舔,97;游戏,83;生化危机,79;里昂,69;食者,60;
2979403:希腊,4;音乐,4;marika,3;描写,3;历史,3;
2224990:生活,11;坚强,10;雷庆瑶,9;翅膀,8;双臂,6;
4212391:奈,26;变态,17;濑,16;梓,10;浅野,8;
1498599:阿凡提,4;羊肉串,3;动画片,2;恨,2;动画,2;
1438851:青春,73;小谢,62;芭,56;刘烨,54;柳,50;
2030733:革命,5;浏阳河,4;桥,3;红军,3;具有,2;
1305896:安尼,13;丈夫,10;宗教,8;妻子,8;巫婆,8;
5954494:小鸟,17;章回,17;【,17;】,17;笑,11;
1298944:阿,117;富美子,69;日本,64;山丘,64;无言,62;
4071781:童话,20;书,17;动画,13;纳塔,8;相信,7;
1416905:战争,27;迪肯,22;兵,17;盟军,13;德国,13;
1482080:蛇,146;飞机,62;咬,23;),19;￣,19;
1424748:小说,12;至少,6;网络,5;文字,5;改编,5;
1795525:祖母,26;林奇,25;男孩,23;(,15;),15;
1303083:芳,133;子,126;日本,118;武士,87;雪,79;
1293095:乐队,30;摇滚,17;腰椎,9;穿刺,9;基,7;
1783462:生活,800;人生,391;哈罗德,388;harold,353;小说,329;
5952590:游戏,24;太太,19;死亡,16;动画,15;空间,15;
1301659:自由,3;透明,2;画,2;艺术,2;眼睛,2;
1291836:画家,654;画,652;少女,553;耳环,491;维梅尔,353;
5120686:三,7;港,5;周比利,5;霑,5;叶子楣,4;
1428985:法国,3;节奏,2;动画片,2;动画,2;可惜,2;
4116481:+,14;世界,2;区,2;接触,2;超时空,2;
1304530:老师,494;男人,385;林耀国,278;四十,241;生活,215;
